fic;date;country;currency;mportret;mportretx
AUS;2013-02-28;AUSTRALIA;AUD;0.05236560042399918;0.04496371569404656
AUS;2013-03-28;AUSTRALIA;AUD;-0.02001149889689247;-0.0249381687783452
AUS;2013-04-30;AUSTRALIA;AUD;0.03970900001498379;0.0388925386372021
AUS;2013-05-31;AUSTRALIA;AUD;-0.04679253784713788;-0.05374516584116407
AUS;2013-06-28;AUSTRALIA;AUD;-0.02494779905068445;-0.02839513099409818
AUS;2013-07-31;AUSTRALIA;AUD;0.05544547262179056;0.05529831107183791
AUS;2013-08-30;AUSTRALIA;AUD;0.02607548759350165;0.01744462506103273
AUS;2013-09-30;AUSTRALIA;AUD;0.02312072609922611;0.01732237346883814
AUS;2013-10-31;AUSTRALIA;AUD;0.04049592681152903;0.04012581769662993
AUS;2013-11-29;AUSTRALIA;AUD;-0.01531149329685066;-0.02186348913900693
AUS;2013-12-31;AUSTRALIA;AUD;0.007805965211033383;0.003932497225833886
AUS;2014-01-31;AUSTRALIA;AUD;-0.0277233789442517;-0.02788693388253283
AUS;2014-02-28;AUSTRALIA;AUD;0.04876911441959941;0.0404303068482621
AUS;2014-03-31;AUSTRALIA;AUD;0.004096975468621755;-0.0005291514656612373
AUS;2014-04-30;AUSTRALIA;AUD;0.01393932068289705;0.0135666729008046
AUS;2014-05-30;AUSTRALIA;AUD;0.006480608035395186;0.0006572315214030677
AUS;2014-06-30;AUSTRALIA;AUD;-0.01504956668381596;-0.02343331783868463
AUS;2014-07-31;AUSTRALIA;AUD;0.04449671103194119;0.04434168308687259
AUS;2014-08-29;AUSTRALIA;AUD;0.007618299923024985;0.0008550354072882627
AUS;2014-09-30;AUSTRALIA;AUD;-0.05253862244389429;-0.05812208973340294
AUS;2014-10-31;AUSTRALIA;AUD;0.0405302823521716;0.04015629104915353
AUS;2014-11-28;AUSTRALIA;AUD;-0.03276443545141516;-0.03963456306287494
AUS;2014-12-31;AUSTRALIA;AUD;0.01786215877745145;0.01559371934240517
AUS;2015-01-30;AUSTRALIA;AUD;0.03192831759995673;0.03185242920160314
AUS;2015-02-27;AUSTRALIA;AUD;0.06671166142548102;0.0598382438349887
AUS;2015-03-31;AUSTRALIA;AUD;0.001095955918655855;-0.004638006017455343
AUS;2015-04-30;AUSTRALIA;AUD;-0.01477714515398143;-0.01511910055765198
AUS;2015-05-29;AUSTRALIA;AUD;0.004940721790066549;-0.005220883459585268
AUS;2015-06-30;AUSTRALIA;AUD;-0.0522704608087875;-0.05423458974188144
AUS;2015-07-31;AUSTRALIA;AUD;0.04182458641801001;0.04175100741846882
AUS;2015-08-31;AUSTRALIA;AUD;-0.07327428268948277;-0.08114725895557529
AUS;2015-09-30;AUSTRALIA;AUD;-0.02690499278281921;-0.0328870116009784
AUS;2015-10-30;AUSTRALIA;AUD;0.04386702908289331;0.04303119587145887
AUS;2015-11-30;AUSTRALIA;AUD;-0.00552345079949379;-0.01182353992033813
AUS;2015-12-31;AUSTRALIA;AUD;0.02860984769968655;0.02625970768216579
AUS;2016-01-29;AUSTRALIA;AUD;-0.05278672380974347;-0.05286379194637114
AUS;2016-02-29;AUSTRALIA;AUD;-0.01979862605932126;-0.02801217140353207
AUS;2016-03-31;AUSTRALIA;AUD;0.047315565066957;0.04104307475883262
AUS;2016-04-29;AUSTRALIA;AUD;0.03056031834794593;0.03009633246905885
AUS;2016-05-31;AUSTRALIA;AUD;0.02962715087244039;0.02333909214728491
AUS;2016-06-30;AUSTRALIA;AUD;-0.02165275855873527;-0.02405130234336939
AUS;2016-07-29;AUSTRALIA;AUD;0.06249479910581046;0.06238913389519807
AUS;2016-08-31;AUSTRALIA;AUD;-0.01359381664089199;-0.02084688158363535
AUS;2016-09-30;AUSTRALIA;AUD;0.004034462670488237;-0.0007683418808681619
AUS;2016-10-31;AUSTRALIA;AUD;-0.02084828963461316;-0.02138094001498192
AUS;2016-11-30;AUSTRALIA;AUD;0.0239748419131165;0.01758885955109402
AUS;2016-12-30;AUSTRALIA;AUD;0.04052578188676725;0.03803037785693286
AUS;2017-01-31;AUSTRALIA;AUD;-0.007567022410832291;-0.007632389614636415
AUS;2017-02-28;AUSTRALIA;AUD;0.02291104233992702;0.01737458625417987
AUS;2017-03-31;AUSTRALIA;AUD;0.03204153175812263;0.02475404073297294
AUS;2017-04-28;AUSTRALIA;AUD;0.006425365434101105;0.005964968743983778
AUS;2017-05-31;AUSTRALIA;AUD;-0.02767850909210434;-0.03333123461777066
AUS;2017-06-30;AUSTRALIA;AUD;0.001425757356533275;-0.0008528204175961562
AUS;2017-07-31;AUSTRALIA;AUD;0.003942000631717235;0.003797369599377376
AUS;2017-08-31;AUSTRALIA;AUD;0.006295050812686442;-0.0009416352118742921
AUS;2017-09-29;AUSTRALIA;AUD;0.0001992166909012827;-0.005568311993040642
AUS;2017-10-31;AUSTRALIA;AUD;0.04005139947917691;0.03971553193998911
AUS;2017-11-30;AUSTRALIA;AUD;0.01961346214334503;0.01340837177511323
AUS;2017-12-29;AUSTRALIA;AUD;0.01901249876266831;0.01679141136251139
AUS;2018-01-31;AUSTRALIA;AUD;-0.003279204367574118;-0.003360814263013601
AUS;2018-02-28;AUSTRALIA;AUD;-0.001114431561344054;-0.007735366688061851
AUS;2018-03-29;AUSTRALIA;AUD;-0.03587498288808044;-0.04075353808168769
AUS;2018-04-30;AUSTRALIA;AUD;0.03412561829230665;0.03365427043504887
AUS;2018-05-31;AUSTRALIA;AUD;0.01415622691927743;0.006661097283952033
AUS;2018-06-29;AUSTRALIA;AUD;0.02899516169038918;0.02667944850366921
AUS;2018-07-31;AUSTRALIA;AUD;0.0136355463033333;0.013533133872484
AUS;2018-08-31;AUSTRALIA;AUD;0.01906987023722961;0.009914579023774017
AUS;2018-09-28;AUSTRALIA;AUD;-0.01220086413207311;-0.01778832762321414
AUS;2018-10-31;AUSTRALIA;AUD;-0.06355422981079917;-0.06448894434089825
AUS;2018-11-30;AUSTRALIA;AUD;-0.0220373852957968;-0.03577415673924877
AUS;2018-12-31;AUSTRALIA;AUD;-0.005473528920809434;-0.007910364149861238
AUS;2019-01-31;AUSTRALIA;AUD;0.03728777260245875;0.03444010282728804
AUS;2019-02-27;AUSTRALIA;AUD;0.05442848448282689;0.04598853614155529
AUS;2019-03-29;AUSTRALIA;AUD;0.0008305559809456131;-0.003983675314615409
AUS;2019-04-30;AUSTRALIA;AUD;0.02403794340508747;0.02366167562449717
AUS;2019-05-31;AUSTRALIA;AUD;0.01894740572339582;0.01248352741587389
AUS;2019-06-28;AUSTRALIA;AUD;0.03426913349994831;0.03198048337789761
AUS;2019-07-31;AUSTRALIA;AUD;0.03136770403250155;0.03122802224315868
AUS;2019-08-30;AUSTRALIA;AUD;-0.02068671598310279;-0.02731907807279488
AUS;2019-09-30;AUSTRALIA;AUD;0.02155154838813877;0.01518272393482412
AUS;2019-10-31;AUSTRALIA;AUD;-0.005102633054365979;-0.005749972931264669
AUS;2019-11-29;AUSTRALIA;AUD;0.02574505523350434;0.02083249736540438
AUS;2019-12-31;AUSTRALIA;AUD;-0.01981544392156698;-0.02185208866329602
AUS;2020-01-31;AUSTRALIA;AUD;0.04655053484736849;0.04651178415517276
AUS;2020-02-28;AUSTRALIA;AUD;-0.07981170141369776;-0.08503303273848206
AUS;2020-03-31;AUSTRALIA;AUD;-0.215960718468412;-0.2213942641480515
AUS;2020-04-30;AUSTRALIA;AUD;0.09730799763110487;0.09714329740560057
AUS;2020-05-29;AUSTRALIA;AUD;0.04950074122387127;0.04828551406117554
AUS;2020-06-30;AUSTRALIA;AUD;0.0236463841873864;0.02182050128678603
AUS;2020-07-31;AUSTRALIA;AUD;0.01006024687524021;0.009926918410118502
AUS;2020-08-31;AUSTRALIA;AUD;0.03846136932891198;0.03243603553672236
AUS;2020-09-30;AUSTRALIA;AUD;-0.03326700718346787;-0.03714678869260635
AUS;2020-10-30;AUSTRALIA;AUD;0.02134850913251518;0.01966929007408913
AUS;2020-11-30;AUSTRALIA;AUD;0.1000668458983369;0.09769320830794381
AUS;2020-12-31;AUSTRALIA;AUD;0.01767434537094692;0.0162010784083837
AUS;2021-01-29;AUSTRALIA;AUD;0.006519621583018997;0.006452645653637568
AUS;2021-02-26;AUSTRALIA;AUD;0.01364150555553101;0.009250069695956764
AUS;2021-03-31;AUSTRALIA;AUD;0.02103573571621764;0.01370868177780959
AUS;2021-04-30;AUSTRALIA;AUD;0.03706215724381212;0.03678745628097313
AUS;2021-05-31;AUSTRALIA;AUD;0.02255992020128783;0.01883584309230191
AUS;2021-06-30;AUSTRALIA;AUD;0.02464550627153628;0.01929505684024879
AUS;2021-07-30;AUSTRALIA;AUD;0.009233830789037167;0.009055194898623053
AUS;2021-08-31;AUSTRALIA;AUD;0.02711954109300629;0.02231640403238466
AUS;2021-09-30;AUSTRALIA;AUD;-0.01322359300023057;-0.02252451579872861
AUS;2021-10-29;AUSTRALIA;AUD;0.003676686715473609;0.003314123024492854
AUS;2021-11-30;AUSTRALIA;AUD;-0.005028431160388203;-0.009462840118959814
AUS;2021-12-31;AUSTRALIA;AUD;0.02770352472261983;0.02598127492599511
AUS;2022-01-31;AUSTRALIA;AUD;-0.06384825087661439;-0.06389313641189198
AUS;2022-02-28;AUSTRALIA;AUD;0.01609661347605473;0.00596535401798115
AUS;2022-03-31;AUSTRALIA;AUD;0.07078014866545246;0.0659659854610386
AUS;2022-04-29;AUSTRALIA;AUD;-0.003000623679822567;-0.003218504244450693
AUS;2022-05-31;AUSTRALIA;AUD;-0.03538025258108413;-0.05060280574450804
AUS;2022-06-30;AUSTRALIA;AUD;-0.09396885438614755;-0.09550925060295445
AUS;2022-07-29;AUSTRALIA;AUD;0.06523708200583034;0.06451198892371779
AUS;2022-08-31;AUSTRALIA;AUD;0.01445976470265187;0.009448205921363417
AUS;2022-09-30;AUSTRALIA;AUD;-0.06212609975712902;-0.07412491830007317
AUS;2022-10-31;AUSTRALIA;AUD;0.05333343259359213;0.05269493789003432
AUS;2022-11-30;AUSTRALIA;AUD;0.0649128401236514;0.0606354537461431
AUS;2022-12-30;AUSTRALIA;AUD;-0.03331473196352319;-0.03519311498694022
AUS;2023-01-31;AUSTRALIA;AUD;0.06247172556309044;0.06227184371860606
AUS;2023-02-28;AUSTRALIA;AUD;-0.02465423241675857;-0.02980423418207301
AUS;2023-03-31;AUSTRALIA;AUD;-0.003919585455911867;-0.01360826395117787
