observation_date,IR3TIB01CHM156N
2008-08-01,2.183385900000000213
2008-09-01,2.124652999999999903
2008-10-01,1.410791181818179751
2008-11-01,0.700317846153846069
2008-12-01,0.107530500000000001
2009-01-01,0.093875699999999895
2009-02-01,0.110002944444443904
2009-03-01,0.113013047619047999
2009-04-01,0.090246181818181795
2009-05-01,0.091278058823529407
2009-06-01,0.087130526315789505
2009-07-01,0.071784565217391294
2009-08-01,0.073836809523809499
2009-09-01,0.073400380952380995
2009-10-01,0.085003333333333306
2009-11-01,0.118535785714285899
2009-12-01,0.115619909090908995
2010-01-01,0.090359399999999895
2010-02-01,0.098743250000000005
2010-03-01,0.095777727272727306
2010-04-01,0.087943499999999994
2010-05-01,0.081909750000000003
2010-06-01,0.117740750000000005
2010-07-01,0.182851190476190001
2010-08-01,0.206569350000000013
2010-09-01,0.213812095238094996
2010-10-01,0.247917749999999992
2010-11-01,0.186001050000000001
2010-12-01,0.191368111111110989
2011-01-01,0.150810190476189987
2011-02-01,0.139542749999999993
2011-03-01,0.155124173913042895
2011-04-01,0.139454111111111001
2011-05-01,0.119449863636364007
2011-06-01,0.102059650000000002
2011-07-01,0.090955476190476198
2011-08-01,-0.067596799999999999
2011-09-01,-0.061070272727272702
2011-10-01,-0.093359894736842100
2011-11-01,-0.065318699999999993
2011-12-01,0.080000000000000002
2012-01-01,0.040293285714285698
2012-02-01,0.017876500000000000
2012-03-01,0.051299249999999998
2012-04-01,0.013698833333333301
2012-05-01,-0.015498055555555600
2012-06-01,-0.057311058823529402
2012-07-01,-0.173395066666666903
2012-08-01,-0.207230666666666896
2012-09-01,-0.150658058823529006
2012-10-01,-0.063397750000000003
2012-11-01,-0.144987368421053003
2012-12-01,-0.051342999999999903
2013-01-01,-0.108085600000000004
2013-02-01,-0.063423866666666703
2013-03-01,-0.059640736842105302
2013-04-01,-0.064725333333333301
2013-05-01,-0.058811750000000003
2013-06-01,-0.060211105263157899
2013-07-01,-0.055805826086956500
2013-08-01,-0.060650450000000002
2013-09-01,-0.051107315789473702
2013-10-01,0.015929200000000001
2013-11-01,-0.016954055555555601
2013-12-01,0.017434916666666699
2014-01-01,-0.043324399999999999
2014-02-01,-0.047966750000000002
2014-03-01,-0.040005857142857100
2014-04-01,-0.029209400000000000
2014-05-01,-0.031602550000000000
2014-06-01,-0.012440999999999900
2014-07-01,0.033333333333333298
2014-08-01,0.037999999999999999
2014-09-01,0.025000000000000001
2014-10-01,0.040000000000000001
2014-11-01,0.041428571428571398
2014-12-01,0.040234375000000003
2015-01-01,-0.416666666666667074
2015-02-01,-0.675000000000000044
2015-03-01,-0.788842625000000019
2015-04-01,-0.685416666666667007
2015-05-01,-0.815416750000000023
2015-06-01,-0.767575833333333013
2015-07-01,-0.744305500000000064
2015-08-01,-0.781250000000000000
2015-09-01,-0.756176166666666982
2015-10-01,-0.844999999999999973
2015-11-01,-0.680833000000000022
2015-12-01,-0.740213833333333016
2016-01-01,-0.745873000000000008
2016-02-01,-0.888636399999999993
2016-03-01,-0.774167000000000050
2016-04-01,-0.746874999999999956
2016-05-01,-0.765375000000000028
2016-06-01,-0.718644999999999978
2016-07-01,-0.770000000000000018
2016-08-01,-0.750000000000000000
2016-09-01,-0.750000000000000000
2016-10-01,-0.750000000000000000
2016-11-01,-0.760000000000000009
2016-12-01,-0.800000000000000044
2017-01-01,-0.930000000000000049
2017-02-01,-0.803778166666667016
2017-03-01,-0.814999999999999947
2017-04-01,-0.790119099999999963
2017-05-01,-0.897708249999999985
2017-06-01,-0.775000000000000022
2017-07-01,-0.805833333333332957
2017-08-01,-0.814999999999999947
2017-09-01,-0.845249999999999946
2017-10-01,-0.925185222222221992
2017-11-01,-0.906642166666666971
2017-12-01,-0.864305555555555993
2018-01-01,-0.871547450000000001
2018-02-01,-0.871562500000000018
2018-03-01,-0.795240750000000052
2018-04-01,-0.800235150000000006
2018-05-01,-0.786177499999999974
2018-06-01,-0.790477142857142989
2018-07-01,-0.780435909090909097
2018-08-01,-0.777280909090909078
2018-09-01,-0.780283888888889110
2018-10-01,-0.831076428571429049
2018-11-01,-0.814999999999999947
2018-12-01,-0.775999999999999912
2019-01-01,-0.813503555555555979
2019-02-01,-0.768617571428570900
2019-03-01,-0.756575222222222066
2019-04-01,-0.747500000000000053
2019-05-01,-0.775262499999999966
2019-06-01,-0.780554999999999999
2019-07-01,-0.839999999999999969
2019-08-01,-0.807499999999999996
2019-09-01,-0.791250000000000009
2019-10-01,-0.756590909090909092
2019-11-01,-0.705643333333332956
2019-12-01,-0.736666666666667025
2020-01-01,-0.748750000000000027
2020-02-01,-0.716447500000000015
2020-03-01,-0.675000000000000044
2020-04-01,-0.624583333333332935
2020-05-01,-0.663348888888888988
2020-06-01,-0.665814500000000087
2020-07-01,-0.690713478260869929
2020-08-01,-0.706807142857142967
2020-09-01,-0.708714090909090988
2020-10-01,-0.698181818181818015
2020-11-01,-0.729999999999999982
2020-12-01,-0.742727272727272902
2021-01-01,-0.729837999999999987
2021-02-01,-0.732423999999999964
2021-03-01,-0.729999999999999982
2021-04-01,-0.728541499999999953
2021-05-01,-0.735221052631578997
2021-06-01,-0.737727272727273009
2021-07-01,-0.736136363636364033
2021-08-01,-0.738181818181817939
2021-09-01,-0.819999999999999951
2021-10-01,-0.726692380952381090
2021-11-01,-0.693960909090908906
2021-12-01,-0.717456521739129993
2022-01-01,-0.714190952380952093
2022-02-01,-0.684791999999999956
2022-03-01,-0.682174347826086991
2022-04-01,-0.672499999999999987
2022-05-01,-0.685000000000000053
2022-06-01,-0.508571428571429007
2022-07-01,-0.110000000000000001
2022-08-01,-0.024545454545454499
2022-09-01,0.147499999999999992
2022-10-01,0.528750000000000053
2022-11-01,0.540000000000000036
2022-12-01,0.736349047619047958
2023-01-01,0.986904761904761951
2023-02-01,1.000000000000000000
2023-03-01,1.363822608695649752
2023-04-01,1.449999999999999956
2023-05-01,1.449999999999999956
2023-06-01,1.590454545454550006
2023-07-01,1.719999999999999973
2023-08-01,1.767272727272729771
2023-09-01,1.770000000000000018
2023-10-01,1.770000000000000018
2023-11-01,1.731818181818179703
2023-12-01,1.652500000000000080
2024-01-01,1.685238095238100087
2024-02-01,1.699999999999999956
2024-03-01,1.500000000000000000
2024-04-01,1.500000000000000000
2024-05-01,1.500000000000000000
2024-06-01,1.426999999999999824
2024-07-01,1.193478260869569985
2024-08-01,1.066472380952379950
2024-09-01,1.022142857142859906
2024-10-01,0.894492608695652058
2024-11-01,0.806508095238094969
2024-12-01,0.600750000000000006
