date,France,Australia,Germany,Japan,Switzerland,Britain,USA
03-2009,0.06037973128117091,0.13200074705801823,0.06662532091891116,0.032623293630816175,0.026713899502731397,0.07659511463912283,0.086803
04-2009,0.20211665120585431,0.1496061942234107,0.2243622964491483,0.08100112053449626,0.19716185625440263,0.14310818290071725,0.109466
05-2009,0.04888812560240763,0.0169083818807636,0.0419352209490218,0.07108296271537462,0.0554239543285151,0.11596582523474608,0.067787
06-2009,-0.04306348965772233,-0.06027420256593907,-0.036664110407183315,0.03881538939929152,0.007574606008846629,-0.07225459694129965,-0.003019
07-2009,0.051975534674223,0.018387955878258477,0.05814616567589992,0.021696621183475484,0.06046462090316207,0.04228167104525449,0.081779
08-2009,0.06683429561545906,0.02252671952631724,-0.012412160447174525,0.014482261649389372,0.05622636895093125,0.0002938068268776295,0.03151
09-2009,0.05672207210075286,0.08326011451794568,0.040060836964335156,-0.04712781011520972,0.045168628195003224,0.030574103352290383,0.045281
10-2009,-0.049529587637551664,-0.08182908240940945,-0.050264914136315175,-0.022406340146488235,-0.009439897162074495,-0.00895802795466838,-0.028072
11-2009,-0.03825683970559257,-0.07397277338758357,-0.01893552422897815,-0.06356545986487316,-0.045622197276612986,0.006768430769948486,0.057075
12-2009,0.011166100785063415,-0.04530149334560063,0.003896492656354944,0.07719125102650937,0.01861545862960723,0.04043590564316435,0.028475
01-2010,-0.08317380806508878,-0.13745649981077768,-0.09122803138642921,-0.009532899768693204,-0.05249659164374443,-0.090997539765863,-0.037172
02-2010,-0.0006554464330357224,0.027852367251022248,0.004125677308797537,-0.009534271700685548,0.056473875008545615,0.014149247158732114,0.034744
03-2010,0.07422826402840299,0.01782195536911746,0.09150898919221928,0.09616372344958402,0.050317889097362456,0.08380952149678511,0.063668
04-2010,-0.045371988339105274,-0.08191944435333909,-0.02226919457469445,0.008697431247986165,-0.034299920685147645,-0.02248440280347308,0.020036
05-2010,-0.07273749097682536,-0.17149938444348034,-0.04916174981413768,-0.10559045668318601,-0.03702167733481698,-0.025181659323577188,-0.07924
06-2010,0.041904645629497694,-0.05875326838905126,0.06206802804049938,-0.03685538130902688,0.05318610717573535,-0.02814031727259947,-0.05078
07-2010,0.12245888560083584,0.08575904876064488,0.09785482839468418,0.00829344278653621,0.09791822227137137,0.1378123010326916,0.07036
08-2010,0.0034289819749763195,0.011530297548676849,0.007421789196113138,-0.0522439878780514,0.027904086076598666,-0.017676218158231727,-0.042863
09-2010,0.07586364361001396,0.02086741065273423,0.06533430143961638,0.03855227596205468,-0.0052017304434379685,0.039059272141287904,0.091628
10-2010,0.0035864986861553483,-0.04411770429043815,0.021503761428650625,-0.024315067196188034,-0.007271771314938391,-0.0030268723154900368,0.038591
11-2010,-0.10084408943297951,-0.09621631480784298,-0.04894682396622907,0.0598976532791764,-0.038520029177931736,-0.048382147266298636,0.005117
12-2010,-0.007140114000086628,-0.05204936334728094,-0.01517673307856282,0.044222457101837476,0.00887827265726715,0.05789618925986573,0.067182
01-2011,0.07116274044180715,-0.03946564068096259,0.04946975434247447,0.013363382522209699,0.025356011594227734,0.007232670032389699,0.019183
02-2011,0.07754738240685866,-0.02528393687355268,0.07336203675630903,0.04424241915961469,0.04706620378363824,0.04402006221235555,0.038156
03-2011,-0.015827144993810993,0.0039785984558515786,-0.007632517412733852,-0.07077391011551637,-0.011143920036645438,-0.017895766199236163,0.003341
04-2011,-0.008197474210778433,-0.05713836349194046,0.010463491772353173,-0.01746463735316861,0.05647207680882094,-0.00042734728694315827,0.028597
05-2011,-0.030298905615455007,-0.07709248903882338,-0.05310565938923906,-0.01350498978572634,0.00257838886293138,-0.018937957412158313,-0.014948
06-2011,-0.055813506264218216,-0.1052590817673773,-0.04501879311997392,0.012013438216638805,-0.05738119284589016,-0.029576998071685456,-0.018447
07-2011,-0.059373886581599256,-0.1134667100878558,-0.033105380936764295,-0.009805173484904062,-0.050711307781490134,-0.012480928994769491,-0.022534
08-2011,-0.15401136725784903,-0.08602184885323672,-0.21573671412127682,-0.07712191175297367,-0.19472952742594674,-0.10442450462819475,-0.057564
